run,event,pip_rec_px,pip_rec_py,pip_rec_pz,pip_lund_px,pip_lund_py,pip_lund_pz,theta_lund_deg,theta_rec_deg,pip_rec_vx,pip_rec_vy,pip_rec_vz,pip_lund_vx,pip_lund_vy,pip_lund_vz,rec_track_detector_list,rec_traj_detector_list,rec_scintillator_detector_component,rec_particle_pid_list
11,3451,0.513684,-0.37414,0.804123,0.541881,-0.385702,0.836698,38.4829,38.3191,0.192681,0.299094,-1.15846,0,0,-1.38756,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:51","11,0,211"
11,3907,0.112207,0.718377,0.901909,0.017339,0.960261,1.25101,37.514,38.8745,-1.22837,0.174233,-2.44368,0,0,-2.4331,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:21,12:55","11,321,211"
11,52,-0.173889,-0.604196,0.788183,-0.204433,-0.741502,0.899525,40.5331,38.5788,-5.52295,1.62948,-12.1251,0,0,-8.35966,"6","15,8,8,8,8,8,8,6,6,6,12,12,16,7,7,7","12:16,12:41","11,321,211,2112,2112"
11,240,-0.226982,-0.683057,0.917898,-0.215155,-0.688304,0.934011,37.6716,38.1023,-1.04408,0.391737,-1.54044,0,0,-3.03222,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:19,12:49","11,0,211"
11,706,0.23283,0.670162,0.891106,0.236976,0.66158,0.885852,38.4248,38.5251,0.830294,-0.309197,-1.01057,0,0,-1.7519,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:19,12:49","11,211"
11,1178,0.672326,0.10831,0.866597,0.73368,0.161034,0.971711,37.7045,38.1612,-0.24045,1.35321,-0.771165,0,0,-6.14673,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:18,12:49","11,321,211,22"
11,1402,-0.507108,-0.383184,0.797344,-0.525204,-0.40826,0.85983,37.7278,38.56,0.385526,-0.431606,-0.367469,0,0,-3.25637,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:51","11,0,211,2112"
11,1525,0.406397,-0.520126,0.830922,0.502376,-0.576021,0.871049,41.2659,38.4629,0.659914,0.56595,-5.14296,0,0,-1.70395,"6","15,8,8,8,8,8,8,6,6,6,12,12,16,7,7,7","12:19,12:48","11,321,211"
11,2395,0.589036,-0.285035,0.830024,0.66323,-0.280107,0.885841,39.102,38.2516,0.529263,1.16669,-2.33308,0,0,-2.18329,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:52","11,321,211,2112,2112,2112,2112,2112"
11,1650,-0.481691,-0.414703,0.80239,-0.469451,-0.266502,0.845253,32.5644,38.3845,-7.1459,8.33141,15.4617,0,0,-3.06413,"6","15,8,8,8,8,8,8,6,6,6,12,12,16,7,7,7","12:16,12:41","11,211,22,22,2112,2112"
11,2874,-0.403051,-0.495452,0.805823,-0.479071,-2.8299,3.67213,38.0114,38.4,9.95275,-8.04388,6.33746,0,0,0.218836,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:61,12:1","11,2212,211"
11,4494,-0.480809,-0.434888,0.820707,-0.496729,-0.550893,0.882971,40.0331,38.3066,1.2372,-1.34225,-4.65891,0,0,-2.31731,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:19,12:50","11,321,211"
11,96,-0.621514,0.0192157,0.790814,-0.733566,-0.096023,0.824642,41.8967,38.1777,-0.0192204,-1.91104,-7.41362,0,0,-4.69067,"6","15,8,8,8,8,8,8,6,6,6,12,12,16,7,7,7","12:17,12:43","11,321,211"
11,4826,0.010594,-0.688302,0.880445,0.014476,-0.702426,0.90215,37.9107,38.0204,-0.096057,0.0219241,-1.88777,0,0,-2.99461,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:52","11,211,0,22"
11,430,0.641459,-0.373397,0.917019,0.677069,-0.342867,0.901353,40.0972,38.9863,1.25779,2.24691,-8.53476,0,0,-1.5154,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:22,12:57","11,211,321"
11,2969,-0.340807,0.544532,0.817557,-0.519501,0.51809,0.8345,41.3218,38.1582,-6.57455,-4.15466,-1.61974,0,0,-3.12281,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:19,12:50","11,321,211,2112,22"
